"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Ispd",1.06551998795292,0.0923327943013983,1.12743301875891,0.516012177696073,1.12883839509567,0.430763979220278
"Fam210a",-0.545412732526422,0.103742658407661,-0.564071024178055,0.506475357818235,-0.564567859183392,0.431147232563474
"Anapc7",-0.395390799120957,0.116750971263919,-0.409001534840383,0.530602463738529,-0.409618510095113,0.431218507020378
"Aarsd1",0.485414838379699,0.134412196477268,0.488622853475874,0.529767972463359,0.487884731434901,0.431218507020378
"Slc25a4",0.15088303052508,0.128994304180713,0.170877449393958,0.47058516290517,0.170439459389404,0.431460730237116
"Trmt10a",-0.797954090254064,0.0855877781070001,-0.798655477642329,0.510649754440115,-0.799602668102916,0.431871461932562
"Usp25",-0.49740080316911,0.0926407371560694,-0.509859406801468,0.530602463738529,-0.510390365383295,0.432670964273822
"Nsun6",0.703166566811697,0.0773904877264509,0.71616993529411,0.50490431281653,0.716195341062471,0.432670964273822
"Mthfsl",0.351075196829493,0.0860606669173601,0.340041506507154,0.529767972463359,0.339346748284867,0.432670964273822
"Comt",-0.505941422215158,0.116971426971026,-0.486347849782671,0.521095973476046,-0.487627527302568,0.432670964273822
"Ptpn7",-0.206973913814918,0.116459330209156,-0.210615630043585,0.445698781386945,-0.211376289336892,0.432816713331035
"Vps13a",0.363919186106711,0.0750505526624912,0.358534480968079,0.572527358884128,0.35808734748052,0.432931730518557
"Fam46a",0.449734745676952,0.0760140156492432,0.432770918702287,0.52597253432236,0.43213216063654,0.432931730518557
"Atg16l2",-0.307582460009799,0.0768275437038084,-0.285668488176789,0.485899542421505,-0.285887931757193,0.433840747291101
"Dnajb6",0.211863073944423,0.1053207361758,0.217934177193861,0.456264562896836,0.217597112130381,0.433843535595277
"Mis12",-0.545243894349771,0.0693210656640259,-0.494301677332591,0.518568254940202,-0.49460093921898,0.434186540607072
"Klhl9",0.223392250117374,0.14292860520971,0.250267847296886,0.465848752369416,0.24994174747122,0.434186540607072
"Crkl",-0.341505094153523,0.090227083419949,-0.351206918272731,0.560846457898206,-0.351731679599517,0.434240078168982
"Urgcp",-0.347440510543116,0.0986814447612761,-0.356240609408493,0.547765816744441,-0.356728568459486,0.435202404591005
"9830147E19Rik",-2.29224856081674,0.0643340620089774,-2.32541988359535,0.429254944042593,-2.34720893714014,0.435634627927953
"Wdr26",0.393525800571038,0.0795449253883301,0.390339098243148,0.553144695338336,0.389838727037632,0.435719773282811
"Mtfmt",-0.486723314963474,0.100863914625107,-0.479810749230218,0.519844325594985,-0.480269051132299,0.436876747841271
"C330007P06Rik",-0.48468420917242,0.0663853208727388,-0.44471028689804,0.529821574484043,-0.445017344480039,0.437271616230793
"Lrrc57",0.449050106242068,0.0954498517296462,0.422316161898434,0.524103920314482,0.421757467869866,0.437296255066652
