"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Trappc4",0.239446166694061,0.0781310801248886,0.290251550954627,0.289420875687394,0.295863468421099,0.269903033475477
"Pla2g15",0.743582983856042,0.0340347683405978,0.722274243663682,0.330704477007225,0.728657149278819,0.270100789876972
"Dcaf11",-0.373228375961443,0.0331011717145051,-0.337215720278356,0.275314322057222,-0.332209306047577,0.270386682083602
"Auh",0.354726034024252,0.0351085190226705,0.362438595396052,0.367202375510717,0.367463750484739,0.270411531693382
"Ppp4c",-0.496731300946576,0.14974753402734,-0.514642737035808,0.311379824840066,-0.508265107119222,0.270459422287719
"Dennd5b",0.257763671583096,0.0947578254753351,0.315405078194163,0.281162548212457,0.320899989230918,0.270657676444164
"Xrcc5",0.764927994392644,0.0229519168246836,0.701488691215659,0.328631880316312,0.706799185427635,0.270694649180424
"Mocs2",-0.602505215452305,0.0399548651760265,-0.62741010510655,0.339974523573876,-0.62299197503639,0.2707968166581
"Aicda",-0.705633315343945,0.0416592637175392,-0.760037810087584,0.321064573751657,-0.754928017474941,0.270823034930326
"Acrbp",1.21014614286381,0.0230565365253983,1.1179180409431,0.318734731191851,1.12280720187885,0.270823034930326
"4931406H21Rik",0.374156848182277,0.0366717750530327,0.381564215869331,0.357616068374694,0.386306712959409,0.270823034930326
"Ptcd2",0.430984645969806,0.0234843264265764,0.407218676666529,0.347597922321893,0.412271551821097,0.27237588765476
"Tbc1d7",0.958193910387215,0.0261523347309783,0.917844251209744,0.310729069705313,0.924296236995343,0.27294267070841
"Hdac6",-1.20188063730674,0.0545567527953288,-1.18716573502584,0.297262188333132,-1.18489099413062,0.27294267070841
"H1f0",-1.80892619020097,0.0481808203981538,-1.91942306213491,0.294430318372218,-1.91739168525273,0.27294267070841
"Slc3a2",-0.342949687621274,0.0517553138569999,-0.316284638578395,0.27500595251466,-0.310968490621736,0.273140407470731
"Top3a",-0.595228571495131,0.072818307377895,-0.644423301755647,0.327684127807396,-0.640172638222595,0.274689286388596
"Ddx59",-0.860095629498761,0.0470870789787218,-0.928948653328667,0.300529751034382,-0.924920824988803,0.274689286388596
"Amfr",-0.383838457623594,0.0257980839497507,-0.363206191220737,0.332988858123165,-0.358327802200397,0.274689286388596
"Srsf5",0.190126480517613,0.076338052433381,0.232195947105525,0.311379824840066,0.237301646950373,0.274778016563649
"Nol7",-0.402989717533221,0.0603705229141729,-0.428810215503333,0.332976793047677,-0.423684971637575,0.275274357558909
"H2afx",-0.589695532217463,0.0490732008327713,-0.577725490326799,0.320196949914136,-0.57370013008961,0.275274357558909
"Stambpl1",0.406757568617793,0.0317311601367282,0.397377163645193,0.359363414904564,0.40230909757416,0.275807889163115
"Zbtb2",-0.823193811051277,0.0571991889279242,-0.907335816906681,0.319595106971186,-0.902856090921848,0.276217434680233
"Tkt",0.149274641903864,0.140359300620682,0.219026843962216,0.32720453006353,0.224055682140146,0.276217434680233
"Psma3",0.145589292090431,0.14189675909258,0.211666671962087,0.344923942564506,0.216667862565064,0.276217434680233
"Pold1",0.249020719747231,0.0708867458001991,0.294239590914922,0.324246186761843,0.299295332709007,0.276217434680233
"Pramef8",-0.542315200811633,0.105021037466407,-0.597106650067642,0.333363215436012,-0.592310342125856,0.277254433494152
"Oaz1-ps",0.0475076533833292,0.411862131321672,0.152394885111517,0.679991564141097,0.15767138429648,0.278091184896686
"Vps39",-0.515957795566223,0.0552832374738797,-0.548852234317493,0.346937908566248,-0.544446633413337,0.278448317085611
"Cpsf7",-0.54439908800166,0.0454599638686271,-0.535868578143364,0.321973527171072,-0.531706915620737,0.278680736108299
"Dusp1",-1.32982468970525,0.325726632970184,-1.87641997256755,0.305035612640486,-1.87046053800657,0.278817058041273
"Sirt7",0.196667720492236,0.126107396498614,0.248575099453725,0.314316223949795,0.25396320238214,0.279115487721999
"Shtn1",-3.72056070479124,0.0455640335133818,-3.89401648856872,0.194784218292259,-3.95645027365059,0.279115487721999
"Nudt5",0.569616587617191,0.030244319630923,0.54495370041706,0.359363414904564,0.550854945828959,0.279115487721999
"Lgr4",-2.24988137884135,0.0515883043695246,-2.50565393248035,0.275798678043393,-2.51593497655931,0.279115487721999
"Ebf1",-0.25521887982398,0.00220859257359412,-0.15745793829752,0.661445307525815,-0.152514265759818,0.279115487721999
"Zfp939",-1.77934819573169,0.0455917228451626,-1.6360770984786,0.298747457524368,-1.63004520596908,0.279179275755141
"Adck2",-0.473430277839213,0.04399832833258,-0.507522251745687,0.35740491551522,-0.502920503888517,0.279179275755141
"Rpl8",-0.27174395094913,0.0133804101383294,-0.187227629370295,0.511750137565071,-0.182198063968814,0.280904845948278
"Mprip",0.720049250013057,0.0325729593513015,0.700977350388363,0.334288924519276,0.707055112692283,0.28112029100476
"Zbtb46",2.308344715945,0.0269504199062742,2.11293088830828,0.322718650312029,2.1268237221122,0.282044741153528
"Trmt12",0.620113851240488,0.0370696022375273,0.594580019655267,0.333357738584009,0.600177934232171,0.282044741153528
"Coa3",0.246552791445551,0.0758292317200678,0.289978282428548,0.324246186761843,0.295207352357065,0.282786675124056
"Adi1",-0.454679450714693,0.0575110635227465,-0.478105582912239,0.324246186761843,-0.472420440865124,0.282786675124056
"Ubtd2",-1.46478045434567,0.0478732911821619,-1.46331827813953,0.309096045423779,-1.46203663633104,0.283359985481626
"S1pr3",0.979221178158303,0.0291493313451522,0.882422942421359,0.320065291312046,0.887158822758799,0.283359985481626
